transaction_id,customer_id,merchant_id,timestamp,amount,currency,payment_method,transaction_type,merchant_category,device_type,operating_system,browser,IP_country,geo_latitude,geo_longitude,distance_from_home,login_duration,transaction_hour,day_of_week,weekend,international,failed_login_attempts,previous_transactions_24h,average_spending_30d,spending_change,merchant_risk,customer_risk,fraud_probability,is_fraud
T00002083,C000999,M00051,2025-01-21 12:40:00,18699.85,INR,UPI,Refund,Healthcare,POS,Android,Firefox,Canada,-26.081719,60.128854,115.64,379,12,Tuesday,No,Yes,2,21,36442.5,94.91,0.59,High,0.21,0
T00002084,C000189,M00084,2025-11-08 08:06:00,57277.34,INR,Credit Card,Refund,Healthcare,POS,Android,Chrome,Canada,77.512005,151.62723,397.53,578,8,Saturday,Yes,Yes,5,23,25692.85,-13.08,0.72,Medium,0.3,0
T00002085,C000729,M00080,2025-08-12 22:08:00,82681.18,INR,UPI,Transfer,Grocery,Desktop,Windows,Chrome,USA,79.335319,20.502887,379.34,346,22,Tuesday,No,Yes,4,24,35711.58,121.18,0.73,High,0.14,0
T00002086,C000446,M00040,2025-12-31 23:48:00,53863.6,INR,UPI,Purchase,Retail,POS,Android,Chrome,Germany,-49.670415,34.759431,38.2,192,23,Wednesday,No,No,3,0,32488.63,-10.03,0.8,Low,0.39,0
T00002087,C000774,M00054,2025-07-08 23:24:00,79519.4,INR,Credit Card,Purchase,Electronics,POS,Windows,Safari,UK,72.176641,-104.772147,423.17,505,23,Tuesday,No,No,1,20,49240.3,-78.28,0.36,Low,0.06,0
T00002088,C000780,M00096,2025-04-09 16:14:00,79244.53,INR,Credit Card,Refund,Entertainment,POS,iOS,Safari,USA,52.126304,114.64561,473.54,331,16,Wednesday,No,No,4,26,6521.92,144.64,0.95,Medium,0.16,0
T00002089,C000634,M00143,2025-02-14 19:59:00,82148.7,INR,Debit Card,Refund,Grocery,Desktop,iOS,Chrome,India,-27.884106,54.763987,235.86,499,19,Friday,No,Yes,3,9,36020.72,102.27,0.09,High,0.28,0
T00002090,C000594,M00005,2025-08-08 01:31:00,35743.07,INR,Credit Card,Transfer,Entertainment,Desktop,Windows,Chrome,Canada,-85.926699,126.031903,83.98,334,1,Friday,No,No,4,4,16539.66,26.61,0.98,Low,0.2,0
T00002091,C000032,M00060,2025-01-17 04:23:00,45278.56,INR,Debit Card,Transfer,Electronics,Desktop,Android,Safari,USA,-53.820865,65.13823,388.9,5,4,Friday,No,Yes,3,8,48632.2,112.55,0.68,High,0.35,0
T00002092,C000427,M00009,2025-09-20 23:25:00,62441.59,INR,Debit Card,Purchase,Travel,Mobile,macOS,Safari,Canada,75.757063,-154.458504,65.31,76,23,Saturday,Yes,No,3,10,13378.34,125.44,0.56,High,0.33,0
T00002093,C000895,M00006,2025-05-30 17:22:00,79051.45,INR,Wallet,Purchase,Electronics,Mobile,Windows,Chrome,India,17.941847,-151.548995,241.18,527,17,Friday,No,No,4,10,1533.28,141.74,0.47,High,0.32,0
T00002094,C000188,M00036,2025-01-24 02:17:00,32251.85,INR,Credit Card,Purchase,Travel,Desktop,Windows,Chrome,Germany,33.421564,109.120769,322.49,43,2,Friday,No,Yes,1,27,28364.9,108.67,0.41,Low,1.0,1
T00002095,C000476,M00186,2025-08-13 10:11:00,75260.13,INR,Credit Card,Refund,Travel,Mobile,Windows,Firefox,Canada,-21.571041,-64.3659,236.29,596,10,Wednesday,No,Yes,0,23,5225.91,88.26,0.33,High,0.19,0
T00002096,C000528,M00181,2025-04-26 15:27:00,59782.61,INR,Wallet,Purchase,Retail,Desktop,iOS,Safari,UK,-41.647702,-154.612714,304.15,426,15,Saturday,Yes,Yes,1,15,1218.97,-19.83,0.83,High,0.33,0
T00002097,C000231,M00032,2025-07-25 01:06:00,31781.05,INR,Credit Card,Purchase,Healthcare,Desktop,Windows,Edge,Canada,-46.110397,38.044111,438.91,581,1,Friday,No,Yes,5,23,19316.21,-16.2,0.59,High,0.21,0
T00002098,C000688,M00081,2025-01-18 07:55:00,79880.84,INR,Wallet,Transfer,Electronics,POS,macOS,Chrome,Germany,-61.741053,-158.133632,430.36,199,7,Saturday,Yes,Yes,5,21,35756.8,101.31,0.02,Low,0.02,0
T00002099,C000146,M00004,2025-11-01 00:34:00,32128.82,INR,UPI,Refund,Entertainment,Mobile,Android,Edge,UK,13.129489,5.212018,411.53,462,0,Saturday,Yes,No,1,26,42419.51,-28.61,0.38,Low,0.07,0
T00002100,C000122,M00135,2025-01-24 13:30:00,41292.75,INR,Credit Card,Refund,Entertainment,Mobile,iOS,Safari,UK,-78.151958,-163.113971,281.92,406,13,Friday,No,Yes,4,9,9413.16,101.38,0.99,Medium,0.06,0
T00002101,C000017,M00122,2026-04-14 03:26:00,2051.03,INR,UPI,Refund,Travel,Mobile,Android,Safari,UK,-30.507611,-5.398941,128.01,117,3,Tuesday,No,No,4,29,5599.6,122.72,0.76,Medium,0.31,0
T00002102,C000679,M00146,2026-02-18 02:09:00,72960.01,INR,UPI,Refund,Electronics,POS,Android,Firefox,UK,-35.804677,131.026357,263.06,155,2,Wednesday,No,Yes,2,1,32941.12,35.41,0.39,Medium,0.12,0
T00002103,C000111,M00136,2025-10-21 14:01:00,86848.25,INR,Wallet,Purchase,Entertainment,Mobile,macOS,Safari,Canada,49.130139,19.552892,404.88,18,14,Tuesday,No,No,0,17,2452.4,120.85,0.91,Low,0.35,0
T00002104,C000473,M00082,2025-09-30 00:03:00,18570.63,INR,Wallet,Purchase,Electronics,POS,iOS,Safari,UK,-35.782589,101.091123,451.54,34,0,Tuesday,No,No,3,10,15674.74,41.42,0.9,High,0.36,0
T00002105,C000639,M00062,2025-03-12 22:56:00,62278.19,INR,Wallet,Refund,Electronics,POS,Android,Safari,USA,-32.558794,78.36007,10.52,307,22,Wednesday,No,Yes,1,3,8492.77,99.63,0.99,Medium,0.32,0
T00002106,C000109,M00078,2025-06-05 11:11:00,32211.68,INR,Debit Card,Purchase,Grocery,Mobile,Android,Safari,USA,24.779031,-167.817038,376.25,504,11,Thursday,No,Yes,5,18,16737.4,37.54,0.19,Medium,0.0,0
T00002107,C000442,M00003,2025-02-21 12:49:00,60667.9,INR,Debit Card,Transfer,Electronics,Mobile,Windows,Chrome,USA,-50.686327,-96.248817,48.58,587,12,Friday,No,Yes,3,23,2263.5,104.66,0.7,Low,0.12,0
T00002108,C000073,M00093,2025-02-08 09:35:00,83752.6,INR,Wallet,Refund,Entertainment,Desktop,iOS,Edge,Canada,62.510771,-50.797733,66.31,244,9,Saturday,Yes,Yes,0,22,19141.93,-62.15,0.06,Low,0.08,0
T00002109,C000780,M00195,2025-06-06 16:42:00,27457.69,INR,Wallet,Purchase,Healthcare,Desktop,Android,Safari,UK,46.088705,-51.21321,36.37,416,16,Friday,No,Yes,1,5,30646.92,53.03,0.7,High,0.32,0
T00002110,C000008,M00156,2025-02-18 18:10:00,96957.49,INR,Credit Card,Refund,Travel,POS,Android,Chrome,Canada,61.808532,9.369686,418.66,479,18,Tuesday,No,Yes,3,18,17134.39,34.16,0.33,High,0.35,0
T00002111,C000126,M00040,2026-02-13 11:56:00,8029.28,INR,Wallet,Refund,Healthcare,POS,Windows,Safari,UK,-70.494926,121.734544,179.98,297,11,Friday,No,Yes,3,28,44762.67,148.75,0.87,High,0.16,0
T00002112,C000221,M00038,2025-05-14 18:17:00,92534.77,INR,Credit Card,Transfer,Retail,Mobile,iOS,Safari,UK,0.363294,60.30563,158.43,198,18,Wednesday,No,No,1,12,13548.72,104.52,0.11,High,0.21,0
T00002113,C000086,M00051,2025-08-10 19:18:00,10770.86,INR,UPI,Refund,Healthcare,Desktop,iOS,Firefox,UK,-80.031348,82.247786,177.91,262,19,Sunday,Yes,No,2,25,10947.28,65.73,0.57,Low,0.37,0
T00002114,C000102,M00040,2026-01-20 13:58:00,75672.27,INR,UPI,Refund,Grocery,POS,iOS,Firefox,USA,-54.885086,-168.284988,327.32,39,13,Tuesday,No,No,0,2,11305.2,77.05,0.86,Low,0.17,0
T00002115,C000738,M00111,2025-05-15 08:10:00,9893.08,INR,UPI,Purchase,Electronics,POS,Android,Chrome,Canada,45.215157,-9.378508,147.99,190,8,Thursday,No,Yes,1,3,28237.59,36.67,0.98,High,0.06,0
T00002116,C000503,M00007,2025-06-08 00:01:00,19990.37,INR,Credit Card,Transfer,Travel,Mobile,Android,Safari,Canada,-23.499707,-97.602722,200.96,455,0,Sunday,Yes,No,4,27,47813.77,-55.6,0.46,Low,0.19,0
T00002117,C000322,M00035,2025-12-15 15:49:00,59251.25,INR,Wallet,Refund,Grocery,POS,Windows,Firefox,Canada,-32.904724,32.665683,201.4,504,15,Monday,No,No,5,17,40767.55,11.72,0.6,Medium,0.35,0
T00002118,C000850,M00165,2025-07-26 07:31:00,5317.17,INR,Credit Card,Refund,Retail,Mobile,iOS,Chrome,India,72.037452,160.420741,244.95,312,7,Saturday,Yes,Yes,2,22,44811.54,45.15,0.66,Medium,0.24,0
T00002119,C000383,M00035,2025-06-17 14:32:00,11810.63,INR,Wallet,Transfer,Retail,Mobile,Android,Firefox,USA,11.718296,-6.108193,474.57,86,14,Tuesday,No,No,5,7,48313.68,17.28,0.58,High,0.2,0
T00002120,C000463,M00123,2025-02-17 14:47:00,11196.32,INR,Wallet,Transfer,Travel,Desktop,macOS,Safari,India,33.498,-41.495458,414.38,419,14,Monday,No,No,4,10,43757.82,145.31,0.82,High,0.33,0
T00002121,C000821,M00080,2026-01-29 22:08:00,26585.8,INR,Debit Card,Refund,Electronics,Mobile,Windows,Firefox,UK,63.390875,-100.027373,211.43,304,22,Thursday,No,No,0,5,21135.31,123.43,0.49,Medium,0.31,0
T00002122,C000996,M00061,2025-11-03 23:49:00,94828.03,INR,UPI,Refund,Grocery,Desktop,Windows,Chrome,Germany,59.359284,177.272293,454.86,95,23,Monday,No,Yes,1,12,47636.32,139.07,0.55,High,0.18,0
T00002123,C000220,M00077,2025-09-27 13:58:00,32589.03,INR,UPI,Refund,Healthcare,POS,macOS,Firefox,India,-89.767047,-47.782484,485.43,521,13,Saturday,Yes,Yes,3,29,35088.86,-10.37,0.82,Low,1.0,1
T00002124,C000896,M00134,2025-05-31 00:09:00,63869.14,INR,Credit Card,Purchase,Electronics,Mobile,Windows,Chrome,USA,-19.018817,-8.604044,481.37,185,0,Saturday,Yes,No,4,30,43658.66,-52.99,0.18,Low,0.07,0
T00002125,C000280,M00187,2026-04-02 14:55:00,50152.39,INR,UPI,Purchase,Travel,Mobile,Windows,Safari,Germany,-68.975463,-118.653376,383.95,389,14,Thursday,No,Yes,3,11,23010.8,-35.94,0.9,Low,0.28,0
T00002126,C000887,M00166,2025-01-25 02:08:00,67583.86,INR,Debit Card,Refund,Food,POS,Windows,Edge,Canada,35.026543,107.355304,388.99,557,2,Saturday,Yes,Yes,1,27,36057.62,-26.87,0.84,Low,0.64,1
T00002127,C000260,M00175,2025-06-24 16:11:00,37372.43,INR,Wallet,Purchase,Entertainment,POS,iOS,Safari,Germany,-78.779486,-76.172755,485.41,407,16,Tuesday,No,Yes,2,10,16504.54,-56.56,0.79,Medium,0.21,0
T00002128,C000662,M00083,2025-02-07 09:42:00,91128.18,INR,Credit Card,Transfer,Retail,Desktop,iOS,Safari,USA,-32.324009,20.332934,196.69,535,9,Friday,No,Yes,1,7,39708.61,-2.07,0.09,Medium,0.12,0
T00002129,C000520,M00070,2026-02-03 07:12:00,59033.58,INR,UPI,Purchase,Food,POS,Windows,Firefox,Germany,85.063325,-11.208899,469.36,162,7,Tuesday,No,Yes,4,27,7373.45,144.59,0.75,Low,0.14,0
T00002130,C000880,M00176,2025-08-05 06:21:00,28498.75,INR,Wallet,Refund,Retail,POS,macOS,Chrome,Germany,-47.530055,-140.430453,488.58,542,6,Tuesday,No,No,3,23,17506.26,-17.76,0.36,Low,0.61,1
T00002131,C000036,M00178,2025-10-12 09:07:00,97130.21,INR,Credit Card,Purchase,Healthcare,POS,Android,Edge,Canada,-31.319971,46.948414,469.86,331,9,Sunday,Yes,Yes,0,23,47109.56,-61.2,0.14,High,0.07,0
T00002132,C000433,M00063,2025-09-23 13:11:00,18834.1,INR,Credit Card,Transfer,Travel,POS,Windows,Edge,Germany,85.786753,146.785405,453.78,108,13,Tuesday,No,No,3,0,44407.94,62.98,0.05,Medium,0.12,0
T00002133,C000702,M00032,2025-06-16 17:49:00,59946.56,INR,Debit Card,Refund,Grocery,POS,macOS,Safari,India,70.646713,50.563081,451.22,226,17,Monday,No,No,2,13,9600.28,7.64,0.7,Low,0.19,0
T00002134,C000077,M00151,2025-09-09 02:27:00,4037.09,INR,Debit Card,Refund,Travel,Mobile,iOS,Safari,Canada,51.043866,141.351271,5.64,511,2,Tuesday,No,No,0,16,48621.54,-23.09,0.74,Medium,0.14,0
T00002135,C000050,M00004,2025-06-29 19:13:00,74379.89,INR,Wallet,Transfer,Electronics,Mobile,macOS,Firefox,Canada,-26.912631,-42.480447,129.14,160,19,Sunday,Yes,No,2,30,29040.63,-23.22,0.53,High,0.11,0
T00002136,C000560,M00016,2025-10-05 11:24:00,511.22,INR,Debit Card,Purchase,Healthcare,POS,macOS,Firefox,UK,-19.776063,-107.5106,354.03,514,11,Sunday,Yes,No,5,28,31005.79,50.08,0.13,High,0.12,0
T00002137,C000222,M00060,2026-04-04 17:44:00,30060.64,INR,Credit Card,Purchase,Food,POS,iOS,Safari,USA,24.623368,-10.576124,120.58,353,17,Saturday,Yes,Yes,3,27,30854.77,15.87,0.37,Medium,0.05,0
T00002138,C000659,M00156,2025-06-16 02:26:00,10380.64,INR,UPI,Refund,Food,POS,iOS,Edge,USA,-2.822657,-37.173679,408.28,390,2,Monday,No,Yes,4,16,14412.67,-56.06,0.12,Low,0.03,0
T00002139,C000333,M00124,2025-04-19 07:53:00,30498.21,INR,Credit Card,Refund,Entertainment,Mobile,iOS,Safari,Germany,24.103418,49.300923,427.83,531,7,Saturday,Yes,Yes,5,16,778.44,-3.91,0.27,Low,0.07,0
T00002140,C000732,M00064,2025-10-13 02:38:00,61027.17,INR,Wallet,Purchase,Retail,POS,macOS,Safari,Canada,48.152549,-102.746243,384.27,11,2,Monday,No,No,0,28,24612.3,-38.4,0.2,High,0.85,1
T00002141,C000116,M00062,2025-04-08 10:55:00,30001.55,INR,Wallet,Refund,Travel,POS,macOS,Chrome,India,-46.150222,-158.181611,81.61,8,10,Tuesday,No,Yes,3,7,34107.69,48.61,0.32,High,0.14,0
T00002142,C000316,M00054,2026-04-03 12:44:00,93911.05,INR,Debit Card,Refund,Healthcare,Desktop,macOS,Safari,India,35.968776,130.262909,144.3,312,12,Friday,No,Yes,3,17,5497.59,-14.52,0.12,Medium,0.3,0
T00002143,C000230,M00108,2026-01-21 00:47:00,89481.17,INR,Wallet,Transfer,Entertainment,Mobile,Windows,Chrome,UK,86.031976,144.40975,39.77,211,0,Wednesday,No,Yes,0,11,23410.72,-26.41,0.37,Low,0.37,0
T00002144,C000175,M00059,2025-11-26 06:37:00,22057.47,INR,Credit Card,Refund,Travel,Mobile,macOS,Edge,Canada,68.198177,-30.542601,473.67,568,6,Wednesday,No,Yes,5,14,38834.49,-9.22,0.97,Medium,0.05,0
T00002145,C000253,M00057,2025-08-03 15:06:00,34413.86,INR,Debit Card,Transfer,Retail,Desktop,macOS,Chrome,USA,-50.911037,48.171302,84.0,512,15,Sunday,Yes,No,3,30,45842.63,137.16,0.48,High,0.26,0
T00002146,C000359,M00091,2025-04-07 13:25:00,73673.45,INR,Debit Card,Refund,Retail,Mobile,Windows,Firefox,Canada,-7.71351,120.480008,491.68,21,13,Monday,No,No,4,20,43992.4,-56.97,0.51,Medium,0.03,0
T00002147,C000631,M00197,2025-12-10 04:29:00,89407.1,INR,Wallet,Transfer,Grocery,POS,Windows,Safari,Germany,-56.668467,-132.769317,102.97,329,4,Wednesday,No,Yes,0,1,15465.18,141.19,0.1,Medium,0.31,0
T00002148,C000905,M00137,2025-10-31 22:32:00,84783.4,INR,Debit Card,Purchase,Retail,Mobile,macOS,Edge,UK,13.466318,-102.5316,161.77,142,22,Friday,No,No,4,6,24638.59,104.89,0.04,Medium,0.04,0
T00002149,C000941,M00143,2025-03-14 10:08:00,91830.24,INR,Credit Card,Purchase,Grocery,POS,Android,Chrome,Germany,-40.611622,-164.926777,133.66,238,10,Friday,No,No,5,12,6905.04,-54.57,0.91,Low,0.07,0
T00002150,C000863,M00129,2025-11-15 00:32:00,58809.95,INR,Credit Card,Refund,Healthcare,POS,iOS,Chrome,Canada,72.561494,111.616269,84.8,389,0,Saturday,Yes,Yes,2,29,14723.25,41.47,0.75,Low,0.11,0
T00002151,C000686,M00021,2025-10-31 10:03:00,34000.89,INR,Credit Card,Transfer,Food,Desktop,macOS,Safari,Germany,4.837778,-148.7954,323.73,263,10,Friday,No,Yes,0,10,11534.32,-37.7,0.22,Low,0.29,0
T00002152,C000917,M00189,2025-07-08 17:42:00,51735.48,INR,Debit Card,Purchase,Grocery,Desktop,macOS,Edge,UK,70.407709,-7.814198,481.12,444,17,Tuesday,No,Yes,5,8,41934.45,-56.04,0.59,High,0.24,0
T00002153,C000914,M00043,2025-06-19 23:39:00,44388.75,INR,Wallet,Transfer,Grocery,Mobile,macOS,Edge,UK,67.955773,-95.847459,143.41,46,23,Thursday,No,Yes,5,5,33396.29,1.66,0.98,Medium,0.17,0
T00002154,C000894,M00191,2025-01-07 16:53:00,95589.6,INR,Wallet,Transfer,Travel,Desktop,Windows,Chrome,Germany,-63.724106,87.655026,457.53,325,16,Tuesday,No,Yes,1,18,6090.7,-49.69,0.64,Medium,0.11,0
T00002155,C000267,M00151,2025-08-30 19:06:00,19624.36,INR,Credit Card,Purchase,Healthcare,Desktop,Android,Edge,Canada,-57.166265,161.693529,119.01,173,19,Saturday,Yes,Yes,5,16,11583.4,-8.85,0.39,Medium,0.1,0
T00002156,C000608,M00167,2025-09-27 01:32:00,4456.47,INR,Wallet,Transfer,Electronics,POS,Android,Safari,Canada,-41.26394,152.421407,481.39,313,1,Saturday,Yes,No,3,27,18755.86,-3.77,0.09,High,0.08,0
T00002157,C000052,M00004,2026-02-25 14:47:00,98505.47,INR,Debit Card,Refund,Food,POS,iOS,Safari,UK,-30.296763,91.779458,437.86,491,14,Wednesday,No,No,5,26,8986.34,62.13,0.52,High,0.09,0
T00002158,C000595,M00176,2025-01-15 17:59:00,27389.44,INR,Credit Card,Purchase,Retail,Mobile,Android,Safari,Germany,5.481331,145.17774,466.29,490,17,Wednesday,No,Yes,1,30,47956.89,19.42,0.26,High,0.2,0
T00002159,C000686,M00040,2025-10-02 06:00:00,83510.15,INR,Credit Card,Refund,Food,Desktop,iOS,Firefox,Canada,-2.406,111.535621,480.05,599,6,Thursday,No,Yes,2,16,43524.82,-6.46,0.43,Low,0.05,0
T00002160,C000913,M00171,2025-09-20 18:18:00,19966.97,INR,Credit Card,Refund,Grocery,POS,macOS,Chrome,UK,33.879796,-15.234181,142.87,75,18,Saturday,Yes,No,3,10,26738.37,148.88,0.04,High,0.05,0
T00002161,C000066,M00046,2025-09-26 15:44:00,26119.33,INR,UPI,Refund,Grocery,Desktop,Windows,Chrome,India,-63.597142,-178.516342,341.69,177,15,Friday,No,No,5,24,3050.45,137.87,0.77,Medium,0.18,0
T00002162,C000779,M00061,2025-02-19 09:57:00,79726.93,INR,Debit Card,Refund,Healthcare,Mobile,Android,Safari,UK,-8.575706,-122.842107,470.77,193,9,Wednesday,No,Yes,5,4,20389.97,-71.5,0.45,Medium,0.29,0
T00002163,C000745,M00182,2025-07-28 08:50:00,53089.68,INR,Debit Card,Purchase,Retail,POS,Android,Edge,UK,-63.162374,-68.086608,94.19,43,8,Monday,No,No,0,22,26085.31,97.1,0.41,High,0.25,0
T00002164,C000492,M00051,2025-12-19 06:58:00,2324.41,INR,Debit Card,Transfer,Healthcare,POS,Windows,Safari,Germany,35.513926,-151.377935,196.98,244,6,Friday,No,Yes,5,18,36444.79,-68.84,0.15,Low,0.2,0
T00002165,C000847,M00041,2025-11-19 04:27:00,48586.67,INR,Credit Card,Purchase,Retail,Desktop,Windows,Firefox,UK,-46.482294,-149.073686,265.38,374,4,Wednesday,No,No,5,13,41732.18,95.55,0.96,Medium,0.21,0
T00002166,C000100,M00131,2025-03-02 11:01:00,40130.89,INR,UPI,Refund,Food,POS,iOS,Chrome,Canada,-35.487909,-48.61966,237.65,256,11,Sunday,Yes,No,0,17,32880.97,-73.77,0.35,Low,0.02,0
T00002167,C000200,M00037,2026-04-05 06:50:00,97681.5,INR,Debit Card,Refund,Electronics,Desktop,Windows,Edge,Canada,-9.163158,-176.019584,441.76,337,6,Sunday,Yes,No,0,0,31978.13,82.97,0.96,Low,0.35,0
T00002168,C000869,M00093,2025-01-02 15:05:00,56789.72,INR,Debit Card,Transfer,Entertainment,Desktop,macOS,Chrome,Germany,54.571885,128.989974,43.27,403,15,Thursday,No,Yes,0,23,37915.93,81.74,0.63,Low,0.34,0
T00002169,C000683,M00041,2025-06-13 01:55:00,24983.34,INR,UPI,Purchase,Grocery,POS,macOS,Safari,UK,-52.602703,-25.30538,423.24,413,1,Friday,No,Yes,1,12,24040.83,-8.27,0.1,Low,0.08,0
T00002170,C000521,M00043,2025-02-28 19:55:00,25097.4,INR,Wallet,Purchase,Grocery,Mobile,macOS,Edge,UK,34.220508,13.479009,131.31,590,19,Friday,No,No,5,23,35174.05,-68.63,0.9,Medium,0.09,0
T00002171,C000595,M00021,2025-02-09 11:24:00,417.41,INR,Credit Card,Refund,Healthcare,Mobile,macOS,Chrome,India,78.585889,11.091401,38.72,384,11,Sunday,Yes,Yes,5,27,17399.36,82.3,0.53,High,0.23,0
T00002172,C000962,M00052,2026-04-27 00:08:00,62540.81,INR,Debit Card,Purchase,Healthcare,POS,iOS,Edge,UK,-47.232805,-125.70579,137.56,344,0,Monday,No,Yes,5,2,16302.4,142.16,0.72,High,0.15,0
T00002173,C000832,M00107,2026-01-23 17:12:00,26310.39,INR,Wallet,Purchase,Healthcare,Desktop,macOS,Firefox,Canada,14.745886,145.834053,338.12,279,17,Friday,No,No,5,19,32783.05,78.25,0.61,Low,0.02,0
T00002174,C000787,M00136,2026-01-17 00:50:00,61795.94,INR,Wallet,Transfer,Retail,Mobile,iOS,Firefox,Germany,12.625604,40.662297,415.84,39,0,Saturday,Yes,No,2,14,20439.87,142.74,0.79,High,0.17,0
T00002175,C000760,M00144,2025-07-29 14:31:00,17840.16,INR,Credit Card,Transfer,Grocery,Mobile,Windows,Safari,India,57.994242,-44.828348,395.48,72,14,Tuesday,No,No,5,17,9507.74,20.96,0.61,Low,0.12,0
T00002176,C000023,M00143,2025-03-23 21:11:00,39410.38,INR,Credit Card,Purchase,Grocery,POS,macOS,Edge,India,-16.123123,124.213743,58.59,189,21,Sunday,Yes,No,0,9,48987.17,-77.72,0.68,Medium,0.25,0
T00002177,C000681,M00173,2025-03-12 12:00:00,61695.93,INR,Credit Card,Purchase,Travel,Desktop,macOS,Edge,Canada,-21.834275,-172.063936,232.85,36,12,Wednesday,No,No,1,1,33184.78,137.39,0.42,Medium,0.17,0
T00002178,C000194,M00094,2025-08-05 08:31:00,69880.76,INR,UPI,Purchase,Retail,POS,Android,Edge,USA,-20.225589,-71.667211,162.2,336,8,Tuesday,No,No,1,3,25469.03,106.4,0.01,High,0.21,0
T00002179,C000839,M00042,2025-09-10 10:44:00,90528.46,INR,Credit Card,Refund,Entertainment,Mobile,Windows,Edge,USA,65.240018,-81.090981,353.21,538,10,Wednesday,No,No,5,0,44529.1,34.54,0.57,High,0.25,0
T00002180,C000144,M00063,2025-06-26 22:17:00,84748.0,INR,Debit Card,Refund,Healthcare,Mobile,macOS,Safari,UK,78.970626,-170.746102,284.71,206,22,Thursday,No,Yes,1,4,24187.84,117.1,0.86,High,0.03,0
T00002181,C000949,M00106,2025-05-12 06:40:00,79987.54,INR,Credit Card,Refund,Electronics,Mobile,Windows,Safari,India,-65.011108,29.473536,212.14,246,6,Monday,No,Yes,4,21,1994.67,36.95,0.24,Low,0.23,0
T00002182,C000805,M00169,2026-03-24 00:08:00,29626.31,INR,Wallet,Purchase,Entertainment,Desktop,Android,Firefox,Germany,-48.129252,89.809156,273.77,554,0,Tuesday,No,No,4,7,43094.7,25.66,0.24,Medium,0.23,0
T00002183,C000046,M00146,2026-03-10 07:25:00,98048.05,INR,UPI,Transfer,Healthcare,Mobile,iOS,Edge,UK,32.28651,86.098811,492.62,206,7,Tuesday,No,No,0,12,29005.35,41.02,0.29,Medium,0.1,0
T00002184,C000021,M00042,2025-06-27 02:54:00,32400.33,INR,UPI,Refund,Healthcare,Mobile,iOS,Firefox,Canada,-89.139513,102.751738,188.83,321,2,Friday,No,No,5,30,20629.7,31.04,0.55,Medium,0.21,0
T00002185,C000970,M00129,2026-01-11 03:17:00,35676.83,INR,UPI,Purchase,Grocery,Desktop,Android,Chrome,India,4.941125,-106.640209,27.99,236,3,Sunday,Yes,No,0,25,35090.12,132.91,0.32,Medium,0.16,0
T00002186,C000343,M00070,2025-09-18 03:10:00,62504.2,INR,UPI,Purchase,Grocery,POS,macOS,Chrome,UK,-33.291409,38.823979,62.48,573,3,Thursday,No,Yes,1,25,18070.91,38.38,0.27,Low,0.13,0
T00002187,C000688,M00032,2025-03-03 17:07:00,57715.86,INR,UPI,Purchase,Healthcare,Desktop,Windows,Edge,Canada,-71.68363,-70.182644,158.63,40,17,Monday,No,Yes,0,20,36840.85,81.06,0.91,Medium,0.39,0
T00002188,C000409,M00049,2025-03-15 14:03:00,29176.36,INR,UPI,Refund,Electronics,Desktop,Windows,Edge,UK,-1.063065,20.594358,345.14,328,14,Saturday,Yes,No,2,18,25192.08,-45.72,0.37,Low,0.31,0
T00002189,C000144,M00110,2025-03-04 11:49:00,51844.19,INR,Wallet,Refund,Travel,Desktop,macOS,Chrome,Canada,-58.182114,-132.249712,408.27,416,11,Tuesday,No,Yes,3,14,17400.15,111.57,0.66,Medium,0.01,0
T00002190,C000107,M00175,2026-03-30 12:33:00,68439.57,INR,Debit Card,Refund,Travel,Desktop,Android,Chrome,Germany,-60.4338,-51.030912,167.64,143,12,Monday,No,Yes,4,12,8760.93,123.49,0.65,High,0.29,0
T00002191,C000675,M00190,2025-12-13 20:28:00,64151.72,INR,Wallet,Refund,Food,Mobile,macOS,Edge,Germany,-26.215171,-144.439229,38.89,339,20,Saturday,Yes,No,1,27,1650.07,-63.35,0.21,High,0.08,0
T00002192,C000478,M00172,2026-02-21 08:47:00,55393.59,INR,UPI,Transfer,Healthcare,Mobile,macOS,Safari,UK,-45.69931,-103.620289,42.37,194,8,Saturday,Yes,Yes,3,9,41233.44,79.41,0.65,High,0.19,0
T00002193,C000468,M00177,2025-08-25 02:06:00,15579.73,INR,Credit Card,Refund,Entertainment,Desktop,macOS,Safari,India,38.10922,-46.599195,8.07,492,2,Monday,No,No,0,3,44962.66,89.31,0.0,Medium,0.23,0
T00002194,C000492,M00131,2025-12-23 06:51:00,85629.16,INR,Credit Card,Purchase,Grocery,Desktop,iOS,Firefox,USA,-24.905614,-35.844752,434.53,371,6,Tuesday,No,No,2,4,31369.09,-0.06,0.76,High,0.11,0
T00002195,C000321,M00073,2026-02-27 02:47:00,47150.45,INR,Wallet,Transfer,Travel,Desktop,Android,Firefox,Canada,-13.955784,-78.216719,138.88,583,2,Friday,No,No,0,22,46519.6,-2.67,0.1,High,0.02,0
T00002196,C000261,M00073,2025-11-11 18:16:00,94840.43,INR,UPI,Transfer,Food,Mobile,Windows,Chrome,India,-81.496864,60.929599,235.59,462,18,Tuesday,No,No,0,7,45210.48,77.76,0.76,Medium,0.82,1
