device_id,customer_id,device_type,manufacturer,operating_system,rooted,biometric_enabled,trusted_device
D000472,C000829,Mobile,Apple,macOS,Yes,Yes,Yes
D000473,C000323,Mobile,Dell,Windows,No,Yes,Yes
D000474,C000723,Mobile,Apple,iOS,Yes,No,Yes
D000475,C000364,Mobile,Dell,Windows,No,Yes,No
D000476,C000738,Mobile,Apple,iOS,Yes,Yes,No
D000477,C000683,Mobile,Apple,iOS,No,No,No
D000478,C000268,Desktop,Apple,iOS,Yes,No,No
D000479,C000158,Mobile,Apple,iOS,Yes,No,No
D000480,C000605,Mobile,Samsung,Android,Yes,No,No
D000481,C000043,Desktop,Apple,macOS,No,No,Yes
D000482,C000902,Mobile,Apple,iOS,Yes,No,No
D000483,C000367,POS,Samsung,Android,Yes,Yes,No
D000484,C000734,POS,Apple,macOS,No,No,No
D000485,C000905,POS,Samsung,Android,No,No,Yes
D000486,C000997,Desktop,Apple,iOS,No,No,Yes
D000487,C000808,Mobile,Apple,macOS,Yes,No,No
D000488,C000129,POS,Apple,macOS,Yes,No,No
D000489,C000883,POS,Apple,iOS,No,No,Yes
D000490,C000173,POS,Apple,macOS,Yes,Yes,Yes
D000491,C000009,Mobile,Dell,Windows,Yes,No,No
D000492,C000776,Desktop,Apple,iOS,No,Yes,No
D000493,C000604,Desktop,Apple,iOS,Yes,Yes,Yes
D000494,C000812,Mobile,Apple,iOS,Yes,No,Yes
D000495,C000584,POS,Dell,Windows,Yes,Yes,Yes
D000496,C000404,Mobile,Apple,macOS,No,Yes,Yes
D000497,C000409,Mobile,Apple,macOS,No,No,Yes
D000498,C000441,Mobile,Dell,Windows,Yes,Yes,No
D000499,C000663,Mobile,Dell,Windows,Yes,Yes,Yes
D000500,C000756,Mobile,Samsung,Android,Yes,Yes,No
D000501,C000552,POS,Apple,iOS,Yes,Yes,Yes
D000502,C000857,Desktop,Dell,Windows,Yes,Yes,Yes
D000503,C000873,Mobile,Apple,macOS,Yes,No,Yes
D000504,C000473,Desktop,Apple,iOS,Yes,No,No
D000505,C000410,Mobile,Dell,Windows,No,Yes,No
D000506,C000892,Mobile,Apple,macOS,No,No,Yes
D000507,C000011,Mobile,Dell,Windows,No,Yes,No
D000508,C000205,Desktop,Apple,iOS,No,Yes,No
D000509,C000675,Mobile,Apple,macOS,Yes,Yes,Yes
D000510,C000806,Desktop,Apple,iOS,Yes,Yes,No
D000511,C000730,Mobile,Dell,Windows,No,No,Yes
D000512,C000733,Mobile,Apple,iOS,No,No,No
D000513,C000120,POS,Dell,Windows,Yes,No,Yes
D000514,C000482,POS,Apple,macOS,No,No,No
D000515,C000916,Mobile,Apple,macOS,No,Yes,No
D000516,C000185,POS,Dell,Windows,Yes,No,No
D000517,C000485,Desktop,Samsung,Android,No,Yes,No
D000518,C000089,Desktop,Samsung,Android,Yes,Yes,No
D000519,C000043,Mobile,Apple,iOS,No,Yes,No
D000520,C000274,Desktop,Dell,Windows,Yes,No,Yes
D000521,C000276,Desktop,Apple,iOS,No,No,Yes
D000522,C000587,Desktop,Apple,macOS,No,Yes,Yes
D000523,C000896,Desktop,Dell,Windows,No,Yes,No
D000524,C000429,POS,Apple,iOS,Yes,No,No
D000525,C000203,POS,Apple,iOS,No,No,Yes
D000526,C000981,Mobile,Samsung,Android,No,Yes,No
D000527,C000494,POS,Dell,Windows,No,Yes,Yes
D000528,C000744,Desktop,Apple,macOS,Yes,No,Yes
D000529,C000596,Mobile,Samsung,Android,No,Yes,No
D000530,C000052,Desktop,Apple,macOS,No,No,Yes
D000531,C000228,Desktop,Dell,Windows,No,No,Yes
D000532,C000053,Desktop,Apple,macOS,No,Yes,No
D000533,C000900,Desktop,Dell,Windows,No,No,No
D000534,C000696,Desktop,Apple,iOS,Yes,No,Yes
D000535,C000675,Desktop,Dell,Windows,Yes,No,Yes
D000536,C000153,Desktop,Samsung,Android,No,Yes,Yes
D000537,C000796,POS,Samsung,Android,No,No,Yes
D000538,C000666,POS,Apple,macOS,No,Yes,No
D000539,C000373,Desktop,Apple,iOS,No,Yes,No
D000540,C000234,POS,Samsung,Android,Yes,No,No
D000541,C000607,POS,Apple,macOS,Yes,Yes,Yes
D000542,C000495,POS,Apple,macOS,No,Yes,Yes
D000543,C000483,POS,Apple,macOS,Yes,Yes,Yes
D000544,C000431,Desktop,Apple,iOS,No,No,Yes
D000545,C000790,POS,Samsung,Android,No,No,No
D000546,C000515,Desktop,Apple,iOS,Yes,No,No
D000547,C000587,Desktop,Apple,iOS,Yes,No,Yes
D000548,C000410,Mobile,Apple,macOS,No,No,Yes
D000549,C000585,Mobile,Dell,Windows,Yes,Yes,No
D000550,C000269,POS,Samsung,Android,No,Yes,No
D000551,C000031,Desktop,Apple,macOS,No,Yes,Yes
D000552,C000781,Mobile,Samsung,Android,No,Yes,Yes
D000553,C000197,POS,Apple,macOS,Yes,Yes,Yes
D000554,C000123,POS,Apple,macOS,Yes,No,No
D000555,C000792,Mobile,Apple,iOS,No,Yes,No
D000556,C000547,Desktop,Samsung,Android,No,No,Yes
D000557,C000602,Desktop,Apple,macOS,Yes,Yes,Yes
D000558,C000996,Mobile,Apple,iOS,Yes,No,No
D000559,C000116,Desktop,Samsung,Android,No,No,No
D000560,C000390,POS,Samsung,Android,Yes,Yes,No
D000561,C000195,Mobile,Apple,macOS,No,No,Yes
D000562,C000238,POS,Dell,Windows,No,Yes,Yes
D000563,C000802,POS,Apple,iOS,Yes,No,Yes
D000564,C000483,POS,Apple,macOS,Yes,No,No
D000565,C000680,Mobile,Dell,Windows,Yes,No,Yes
D000566,C000389,POS,Samsung,Android,No,Yes,Yes
D000567,C000002,Mobile,Dell,Windows,No,Yes,Yes
D000568,C000056,POS,Apple,macOS,Yes,No,No
D000569,C000457,Mobile,Samsung,Android,Yes,Yes,Yes
D000570,C000466,Mobile,Samsung,Android,No,Yes,Yes
D000571,C000564,Mobile,Apple,macOS,No,No,No
D000572,C000677,Mobile,Samsung,Android,No,Yes,No
D000573,C000657,POS,Apple,iOS,No,No,Yes
D000574,C000430,POS,Samsung,Android,Yes,No,Yes
D000575,C000880,Mobile,Apple,macOS,Yes,No,No
D000576,C000136,Mobile,Apple,macOS,Yes,Yes,Yes
D000577,C000640,Mobile,Apple,iOS,No,Yes,Yes
D000578,C000200,POS,Apple,macOS,No,No,No
D000579,C000334,POS,Apple,iOS,No,Yes,No
D000580,C000535,POS,Dell,Windows,No,Yes,Yes
D000581,C000012,POS,Apple,iOS,No,Yes,No
D000582,C000674,Desktop,Apple,iOS,Yes,No,Yes
D000583,C000962,Mobile,Samsung,Android,Yes,No,No
D000584,C000010,Mobile,Apple,iOS,No,No,No
D000585,C000256,POS,Samsung,Android,No,No,Yes
D000586,C000941,Desktop,Apple,iOS,Yes,No,No
D000587,C000865,POS,Apple,iOS,No,Yes,No
D000588,C000228,POS,Dell,Windows,No,No,Yes
D000589,C000809,Desktop,Apple,macOS,No,Yes,Yes
D000590,C000847,POS,Apple,macOS,No,Yes,Yes
D000591,C000896,POS,Dell,Windows,No,No,Yes
D000592,C000284,POS,Dell,Windows,No,No,Yes
D000593,C000984,Mobile,Apple,iOS,Yes,No,Yes
D000594,C000413,Desktop,Apple,macOS,No,No,Yes
D000595,C000382,POS,Apple,iOS,No,No,Yes
D000596,C000767,Mobile,Apple,iOS,No,Yes,No
D000597,C000170,Desktop,Apple,iOS,Yes,Yes,No
D000598,C000408,Mobile,Apple,macOS,No,No,Yes
D000599,C000914,Desktop,Apple,iOS,No,Yes,Yes
D000600,C000329,POS,Apple,iOS,No,No,No
D000601,C000462,POS,Apple,macOS,Yes,No,No
D000602,C000309,Mobile,Samsung,Android,Yes,No,Yes
D000603,C000536,Desktop,Samsung,Android,Yes,Yes,No
D000604,C000618,POS,Apple,iOS,Yes,Yes,Yes
D000605,C000413,Mobile,Apple,iOS,Yes,Yes,Yes
D000606,C000305,Mobile,Dell,Windows,No,No,Yes
D000607,C000980,Desktop,Samsung,Android,Yes,Yes,No
D000608,C000223,Desktop,Samsung,Android,Yes,Yes,Yes
D000609,C000330,Mobile,Apple,macOS,No,Yes,Yes
D000610,C000660,Desktop,Apple,macOS,No,No,Yes
D000611,C000304,Mobile,Apple,iOS,No,Yes,Yes
D000612,C000240,Desktop,Apple,iOS,Yes,Yes,No
D000613,C000439,POS,Apple,macOS,Yes,No,No
D000614,C000938,POS,Apple,iOS,Yes,No,No
D000615,C000901,Mobile,Apple,iOS,Yes,No,No
D000616,C000644,Mobile,Apple,iOS,No,No,No
D000617,C000959,POS,Samsung,Android,No,No,No
D000618,C000776,POS,Apple,iOS,No,Yes,No
D000619,C000815,Desktop,Apple,iOS,No,No,Yes
D000620,C000326,Mobile,Apple,iOS,Yes,Yes,No
D000621,C000871,Desktop,Dell,Windows,Yes,Yes,Yes
D000622,C000502,Desktop,Apple,macOS,Yes,Yes,Yes
D000623,C000994,Desktop,Apple,macOS,Yes,Yes,No
D000624,C000776,POS,Samsung,Android,Yes,Yes,Yes
D000625,C000854,POS,Dell,Windows,Yes,Yes,No
D000626,C000216,Desktop,Apple,iOS,Yes,Yes,No
D000627,C000830,Desktop,Apple,iOS,No,No,No
D000628,C000564,POS,Dell,Windows,Yes,No,No
D000629,C000027,Desktop,Apple,macOS,No,Yes,Yes
D000630,C000068,Mobile,Dell,Windows,No,No,No
D000631,C000797,POS,Samsung,Android,Yes,No,Yes
D000632,C000092,Desktop,Dell,Windows,Yes,Yes,No
D000633,C000275,Desktop,Samsung,Android,No,Yes,No
D000634,C000620,Mobile,Samsung,Android,No,Yes,No
D000635,C000558,POS,Dell,Windows,Yes,Yes,No
D000636,C000267,Desktop,Apple,macOS,No,No,Yes
D000637,C000944,Desktop,Samsung,Android,Yes,No,No
D000638,C000052,Desktop,Samsung,Android,Yes,Yes,Yes
D000639,C000327,Desktop,Dell,Windows,Yes,No,Yes
D000640,C000619,POS,Apple,iOS,Yes,Yes,Yes
D000641,C000698,Mobile,Samsung,Android,No,No,Yes
D000642,C000245,POS,Samsung,Android,No,No,No
D000643,C000676,Desktop,Samsung,Android,Yes,Yes,No
D000644,C000162,POS,Dell,Windows,No,Yes,No
D000645,C000709,Desktop,Dell,Windows,Yes,Yes,Yes
D000646,C000739,Desktop,Dell,Windows,Yes,Yes,Yes
D000647,C000620,Desktop,Apple,iOS,No,No,Yes
D000648,C000781,Desktop,Samsung,Android,No,Yes,No
D000649,C000611,Mobile,Samsung,Android,Yes,Yes,Yes
D000650,C000887,Mobile,Dell,Windows,Yes,Yes,Yes
D000651,C000831,Desktop,Apple,iOS,No,Yes,Yes
D000652,C000551,Desktop,Dell,Windows,No,Yes,No
D000653,C000820,Desktop,Apple,iOS,Yes,Yes,Yes
D000654,C000609,POS,Samsung,Android,No,Yes,No
D000655,C000818,POS,Apple,macOS,Yes,Yes,Yes
D000656,C000232,POS,Dell,Windows,No,Yes,No
D000657,C000975,Desktop,Apple,macOS,No,No,No
D000658,C000744,POS,Apple,macOS,Yes,Yes,Yes
D000659,C000455,Mobile,Samsung,Android,No,No,Yes
D000660,C000747,Mobile,Dell,Windows,No,No,No
D000661,C000418,Mobile,Apple,macOS,No,Yes,Yes
D000662,C000720,POS,Dell,Windows,No,Yes,No
D000663,C001000,Mobile,Apple,iOS,Yes,No,Yes
D000664,C000017,Mobile,Dell,Windows,No,No,No
D000665,C000222,Desktop,Samsung,Android,No,Yes,No
D000666,C000403,Mobile,Samsung,Android,Yes,No,No
D000667,C000445,Mobile,Apple,iOS,No,Yes,Yes
D000668,C000663,POS,Samsung,Android,No,No,Yes
D000669,C000012,Mobile,Samsung,Android,Yes,Yes,Yes
D000670,C000825,POS,Samsung,Android,Yes,Yes,Yes
D000671,C000139,Mobile,Dell,Windows,No,No,Yes
D000672,C000786,Desktop,Apple,iOS,No,No,No
D000673,C000879,Mobile,Apple,iOS,Yes,No,Yes
D000674,C000639,POS,Samsung,Android,No,Yes,Yes
D000675,C000358,Desktop,Apple,macOS,No,No,No
D000676,C000646,POS,Dell,Windows,Yes,Yes,No
D000677,C000766,POS,Dell,Windows,No,No,No
D000678,C000527,Mobile,Apple,iOS,Yes,Yes,Yes
D000679,C000357,POS,Apple,macOS,No,Yes,No
D000680,C000781,Desktop,Dell,Windows,No,No,Yes
D000681,C000612,POS,Apple,iOS,No,Yes,Yes
D000682,C000632,Desktop,Apple,macOS,Yes,No,No
D000683,C000013,Mobile,Apple,macOS,No,Yes,No
D000684,C000318,POS,Apple,iOS,No,Yes,No
D000685,C000304,Desktop,Samsung,Android,Yes,No,No
D000686,C000135,Mobile,Samsung,Android,No,Yes,No
D000687,C000028,Mobile,Dell,Windows,No,Yes,Yes
D000688,C000452,Mobile,Samsung,Android,Yes,No,No
D000689,C000324,Desktop,Samsung,Android,Yes,No,No
D000690,C000383,Mobile,Samsung,Android,Yes,No,No
D000691,C000215,Mobile,Samsung,Android,No,No,No
D000692,C000058,POS,Dell,Windows,No,No,No
D000693,C000100,POS,Apple,iOS,No,No,Yes
D000694,C000741,Desktop,Dell,Windows,Yes,Yes,No
D000695,C000988,POS,Apple,macOS,No,No,Yes
D000696,C000339,Desktop,Apple,macOS,Yes,Yes,Yes
D000697,C000731,POS,Dell,Windows,No,No,No
D000698,C000561,Mobile,Apple,macOS,No,No,Yes
D000699,C000994,Mobile,Apple,iOS,No,No,Yes
D000700,C000251,Mobile,Dell,Windows,Yes,Yes,Yes
D000701,C000618,Desktop,Samsung,Android,No,No,Yes
D000702,C000195,Mobile,Apple,iOS,No,Yes,Yes
D000703,C000580,Desktop,Apple,iOS,No,No,Yes
D000704,C000890,POS,Apple,iOS,Yes,No,Yes
D000705,C000836,Desktop,Apple,iOS,No,No,Yes
D000706,C000170,Desktop,Dell,Windows,No,Yes,Yes
D000707,C000739,POS,Apple,iOS,No,Yes,Yes
D000708,C000245,POS,Apple,iOS,Yes,Yes,Yes
D000709,C000706,Mobile,Dell,Windows,Yes,No,Yes
D000710,C000780,Mobile,Apple,iOS,No,No,Yes
D000711,C000985,Desktop,Apple,iOS,No,Yes,Yes
D000712,C000819,POS,Samsung,Android,No,No,No
D000713,C000337,Desktop,Samsung,Android,No,Yes,No
D000714,C000937,Desktop,Samsung,Android,No,No,Yes
D000715,C000565,Mobile,Apple,iOS,Yes,Yes,Yes
D000716,C000808,Desktop,Apple,macOS,Yes,Yes,Yes
D000717,C000793,Desktop,Apple,iOS,Yes,Yes,No
D000718,C000479,Desktop,Apple,macOS,Yes,Yes,Yes
D000719,C000908,POS,Apple,macOS,Yes,No,No
D000720,C000748,Desktop,Dell,Windows,Yes,No,Yes
D000721,C000572,Desktop,Apple,iOS,Yes,Yes,No
D000722,C000344,POS,Samsung,Android,No,Yes,No
D000723,C000646,Desktop,Apple,iOS,Yes,Yes,No
D000724,C000746,Mobile,Dell,Windows,Yes,No,No
D000725,C000692,POS,Samsung,Android,No,No,No
D000726,C000439,Desktop,Apple,iOS,No,Yes,No
D000727,C000863,Desktop,Samsung,Android,Yes,Yes,Yes
D000728,C000724,Desktop,Apple,iOS,Yes,No,No
D000729,C000969,Desktop,Dell,Windows,Yes,No,No
D000730,C000323,POS,Dell,Windows,No,Yes,Yes
D000731,C000602,POS,Apple,iOS,No,No,Yes
D000732,C000614,POS,Dell,Windows,No,Yes,No
D000733,C000015,Desktop,Dell,Windows,Yes,Yes,No
D000734,C000304,Mobile,Apple,macOS,Yes,Yes,Yes
D000735,C000915,Desktop,Dell,Windows,Yes,Yes,Yes
D000736,C000736,POS,Apple,iOS,Yes,Yes,No
D000737,C000576,Desktop,Dell,Windows,Yes,No,Yes
D000738,C000717,Mobile,Samsung,Android,Yes,No,No
D000739,C000141,Mobile,Apple,iOS,No,No,No
D000740,C000847,POS,Apple,iOS,Yes,No,No
D000741,C000765,POS,Apple,macOS,No,Yes,Yes
D000742,C000210,Desktop,Apple,iOS,No,Yes,No
D000743,C000070,Desktop,Dell,Windows,Yes,No,Yes
D000744,C000715,POS,Apple,iOS,No,No,No
D000745,C000479,POS,Dell,Windows,No,No,Yes
D000746,C000528,Desktop,Dell,Windows,No,No,No
D000747,C000905,POS,Apple,iOS,Yes,Yes,No
D000748,C000207,Desktop,Apple,iOS,Yes,Yes,Yes
D000749,C000428,Mobile,Apple,iOS,No,No,Yes
D000750,C000102,Desktop,Samsung,Android,No,No,No
D000751,C000701,POS,Apple,macOS,No,No,No
D000752,C000682,POS,Apple,macOS,No,No,No
D000753,C000910,Desktop,Dell,Windows,No,Yes,Yes
D000754,C000482,Desktop,Dell,Windows,No,Yes,Yes
D000755,C000396,POS,Samsung,Android,No,No,No
D000756,C000299,POS,Apple,iOS,Yes,No,Yes
D000757,C000392,Desktop,Apple,macOS,No,No,Yes
D000758,C000180,Desktop,Apple,iOS,No,No,Yes
D000759,C000956,Desktop,Apple,macOS,Yes,Yes,Yes
D000760,C000542,Desktop,Apple,iOS,No,Yes,Yes
D000761,C000841,Desktop,Dell,Windows,Yes,Yes,No
D000762,C000982,Mobile,Samsung,Android,No,Yes,Yes
D000763,C000830,Desktop,Dell,Windows,Yes,Yes,No
D000764,C000178,Mobile,Samsung,Android,No,Yes,Yes
D000765,C000624,Desktop,Samsung,Android,Yes,Yes,No
D000766,C000598,Desktop,Samsung,Android,Yes,No,No
D000767,C000139,Desktop,Apple,macOS,No,Yes,No
D000768,C000215,Desktop,Samsung,Android,No,No,Yes
D000769,C000326,Mobile,Dell,Windows,No,Yes,No
D000770,C000770,POS,Apple,macOS,No,No,Yes
D000771,C000511,POS,Dell,Windows,Yes,No,Yes
D000772,C000599,POS,Dell,Windows,Yes,Yes,No
D000773,C000173,POS,Samsung,Android,No,No,Yes
D000774,C000821,Mobile,Samsung,Android,Yes,No,Yes
D000775,C000534,Desktop,Dell,Windows,Yes,No,Yes
D000776,C000158,Mobile,Dell,Windows,Yes,Yes,No
D000777,C000483,Desktop,Apple,macOS,No,No,No
D000778,C000979,Mobile,Dell,Windows,No,Yes,No
D000779,C000931,POS,Dell,Windows,Yes,Yes,Yes
D000780,C000860,POS,Apple,iOS,No,No,No
D000781,C000585,Desktop,Samsung,Android,Yes,Yes,Yes
D000782,C000995,Desktop,Apple,iOS,Yes,No,No
D000783,C000170,Desktop,Dell,Windows,No,No,No
D000784,C000102,Desktop,Apple,iOS,Yes,Yes,No
D000785,C000187,POS,Apple,macOS,Yes,Yes,No
D000786,C000832,POS,Samsung,Android,Yes,No,Yes
D000787,C000798,Mobile,Dell,Windows,No,No,No
D000788,C000425,POS,Dell,Windows,Yes,No,Yes
D000789,C000137,Desktop,Apple,iOS,Yes,Yes,No
D000790,C000462,POS,Samsung,Android,Yes,Yes,Yes
D000791,C000483,POS,Apple,iOS,Yes,Yes,No
D000792,C000844,Desktop,Dell,Windows,No,Yes,No
D000793,C000458,POS,Apple,macOS,No,No,Yes
D000794,C000431,Desktop,Apple,macOS,No,No,Yes
D000795,C000839,POS,Samsung,Android,Yes,No,Yes
D000796,C000527,Mobile,Apple,macOS,No,Yes,No
D000797,C000617,Mobile,Apple,macOS,No,No,No
D000798,C000415,POS,Apple,iOS,Yes,No,No
D000799,C000211,POS,Apple,macOS,Yes,Yes,Yes
D000800,C000409,Mobile,Apple,macOS,Yes,Yes,No
D000801,C000185,Mobile,Samsung,Android,Yes,No,Yes
D000802,C000159,POS,Samsung,Android,No,Yes,Yes
D000803,C000665,Desktop,Samsung,Android,Yes,No,No
D000804,C000895,Mobile,Samsung,Android,Yes,No,Yes
D000805,C000493,Mobile,Apple,iOS,Yes,No,Yes
D000806,C000282,POS,Apple,iOS,No,No,No
D000807,C000249,POS,Samsung,Android,No,Yes,No
D000808,C000336,Desktop,Apple,macOS,No,Yes,Yes
D000809,C000363,POS,Dell,Windows,No,Yes,No
D000810,C000242,POS,Apple,macOS,Yes,Yes,Yes
D000811,C000331,Desktop,Samsung,Android,No,Yes,No
D000812,C000693,Mobile,Apple,macOS,No,Yes,Yes
D000813,C000633,POS,Apple,macOS,Yes,No,No
D000814,C000046,Desktop,Dell,Windows,No,Yes,Yes
D000815,C000319,Mobile,Samsung,Android,No,No,Yes
D000816,C000771,Mobile,Samsung,Android,Yes,No,Yes
D000817,C000411,POS,Apple,iOS,No,Yes,No
D000818,C000839,POS,Apple,macOS,Yes,Yes,No
D000819,C000633,Desktop,Apple,macOS,Yes,Yes,Yes
D000820,C000824,POS,Dell,Windows,No,No,No
D000821,C000270,Desktop,Dell,Windows,No,No,Yes
D000822,C000840,Desktop,Apple,iOS,No,No,Yes
D000823,C000443,Mobile,Samsung,Android,Yes,No,No
D000824,C000777,Desktop,Apple,iOS,Yes,Yes,No
D000825,C000375,Desktop,Apple,macOS,Yes,Yes,No
D000826,C000107,POS,Apple,iOS,No,Yes,Yes
D000827,C000579,Mobile,Apple,iOS,No,No,No
D000828,C000842,Mobile,Apple,iOS,Yes,Yes,No
D000829,C000385,POS,Samsung,Android,No,Yes,No
D000830,C000551,Mobile,Dell,Windows,No,No,Yes
D000831,C000933,Mobile,Apple,macOS,No,No,No
D000832,C000727,Desktop,Apple,macOS,No,Yes,Yes
D000833,C000761,POS,Dell,Windows,No,No,Yes
D000834,C000275,POS,Apple,macOS,Yes,No,Yes
D000835,C000004,Desktop,Apple,macOS,Yes,Yes,Yes
D000836,C000526,POS,Samsung,Android,Yes,No,Yes
D000837,C000913,Mobile,Dell,Windows,Yes,No,No
D000838,C000396,POS,Apple,macOS,Yes,No,Yes
D000839,C000831,Desktop,Apple,macOS,No,Yes,Yes
D000840,C000549,Desktop,Apple,iOS,No,Yes,Yes
D000841,C000832,Mobile,Samsung,Android,No,No,Yes
D000842,C000725,Mobile,Apple,macOS,Yes,Yes,No
D000843,C000464,Desktop,Apple,macOS,Yes,No,No
D000844,C000446,Mobile,Apple,macOS,Yes,Yes,No
D000845,C000938,Mobile,Apple,macOS,No,Yes,Yes
D000846,C000813,Mobile,Apple,iOS,Yes,Yes,No
D000847,C000075,Mobile,Samsung,Android,No,No,Yes
D000848,C000500,Desktop,Apple,macOS,Yes,Yes,No
D000849,C000630,Mobile,Apple,macOS,No,Yes,No
D000850,C000834,Desktop,Dell,Windows,Yes,No,No
D000851,C000632,Mobile,Samsung,Android,Yes,Yes,No
D000852,C000469,Desktop,Samsung,Android,No,No,No
D000853,C000144,Desktop,Dell,Windows,Yes,Yes,No
D000854,C000502,Mobile,Apple,iOS,No,Yes,Yes
D000855,C000753,POS,Dell,Windows,No,No,No
D000856,C000655,Mobile,Apple,iOS,No,No,No
D000857,C000832,Mobile,Dell,Windows,No,Yes,Yes
D000858,C000950,POS,Apple,iOS,No,Yes,Yes
D000859,C000352,Mobile,Dell,Windows,Yes,No,No
D000860,C000897,POS,Dell,Windows,No,No,Yes
D000861,C000547,POS,Apple,iOS,Yes,Yes,No
D000862,C000774,Mobile,Apple,macOS,Yes,Yes,No
D000863,C000283,Desktop,Dell,Windows,Yes,No,No
D000864,C000595,Mobile,Dell,Windows,Yes,No,Yes
D000865,C000267,POS,Samsung,Android,No,No,No
D000866,C000066,Mobile,Apple,iOS,Yes,No,Yes
D000867,C000293,Mobile,Dell,Windows,No,No,No
D000868,C000098,POS,Apple,macOS,Yes,Yes,No
D000869,C000062,Mobile,Samsung,Android,No,Yes,Yes
D000870,C000212,POS,Dell,Windows,Yes,No,Yes
D000871,C000257,Mobile,Samsung,Android,No,No,No
D000872,C000647,Mobile,Apple,iOS,Yes,No,Yes
D000873,C000100,Mobile,Apple,macOS,No,No,No
D000874,C000132,Desktop,Dell,Windows,No,Yes,No
D000875,C000147,Desktop,Samsung,Android,Yes,Yes,Yes
D000876,C000965,Desktop,Dell,Windows,Yes,Yes,Yes
D000877,C000035,Mobile,Apple,macOS,Yes,Yes,Yes
D000878,C000982,POS,Apple,iOS,No,No,No
D000879,C000692,Desktop,Samsung,Android,Yes,Yes,No
D000880,C000099,Desktop,Samsung,Android,Yes,Yes,No
D000881,C000492,Mobile,Apple,macOS,Yes,No,Yes
D000882,C000328,POS,Dell,Windows,Yes,Yes,Yes
D000883,C000435,Mobile,Apple,macOS,Yes,Yes,Yes
D000884,C000874,Mobile,Apple,iOS,No,Yes,Yes
D000885,C000238,POS,Dell,Windows,Yes,Yes,Yes
D000886,C000382,Desktop,Samsung,Android,Yes,Yes,Yes
D000887,C000871,Mobile,Samsung,Android,Yes,Yes,No
D000888,C000215,Mobile,Dell,Windows,Yes,Yes,Yes
D000889,C000373,Mobile,Apple,iOS,No,Yes,Yes
D000890,C000250,POS,Apple,iOS,No,No,No
D000891,C000342,Mobile,Dell,Windows,Yes,No,Yes
D000892,C000306,Desktop,Apple,macOS,No,No,Yes
D000893,C000271,POS,Apple,iOS,No,No,Yes
D000894,C000179,POS,Dell,Windows,Yes,No,Yes
D000895,C000769,Desktop,Apple,macOS,No,Yes,No
D000896,C000182,POS,Dell,Windows,No,Yes,No
D000897,C000855,Mobile,Apple,macOS,No,Yes,No
D000898,C000380,Desktop,Apple,macOS,Yes,No,No
D000899,C000984,Mobile,Apple,macOS,No,Yes,Yes
D000900,C000427,Desktop,Apple,macOS,Yes,No,No
D000901,C000225,Mobile,Dell,Windows,No,No,Yes
D000902,C000900,Desktop,Dell,Windows,No,No,No
D000903,C000683,Mobile,Dell,Windows,No,Yes,No
D000904,C000781,POS,Apple,iOS,No,Yes,Yes
D000905,C000208,POS,Dell,Windows,No,No,Yes
D000906,C000106,Desktop,Dell,Windows,No,Yes,Yes
D000907,C000885,POS,Apple,macOS,No,Yes,Yes
D000908,C000278,Mobile,Dell,Windows,No,No,No
D000909,C000253,POS,Apple,macOS,Yes,No,Yes
D000910,C000749,POS,Apple,macOS,Yes,No,No
D000911,C000631,POS,Apple,iOS,Yes,No,Yes
D000912,C000882,Mobile,Dell,Windows,Yes,Yes,No
D000913,C000712,Desktop,Apple,iOS,Yes,Yes,Yes
D000914,C000510,Mobile,Samsung,Android,No,Yes,No
D000915,C000483,POS,Samsung,Android,Yes,Yes,Yes
D000916,C000550,POS,Dell,Windows,No,No,Yes
D000917,C000396,POS,Apple,iOS,No,Yes,Yes
D000918,C000126,Desktop,Apple,iOS,No,Yes,No
D000919,C000407,Mobile,Apple,macOS,No,No,Yes
D000920,C000398,POS,Apple,iOS,No,No,No
D000921,C000940,Mobile,Apple,iOS,Yes,No,Yes
D000922,C000012,Mobile,Dell,Windows,No,No,Yes
D000923,C000186,POS,Samsung,Android,No,No,No
D000924,C000091,POS,Apple,macOS,No,No,Yes
D000925,C000699,POS,Apple,macOS,Yes,Yes,No
D000926,C000615,Mobile,Apple,iOS,Yes,Yes,No
D000927,C000174,Desktop,Samsung,Android,Yes,Yes,No
D000928,C000582,POS,Apple,iOS,No,Yes,Yes
D000929,C000232,Mobile,Apple,iOS,No,No,Yes
D000930,C000940,POS,Apple,macOS,No,No,Yes
D000931,C000547,Mobile,Dell,Windows,No,Yes,No
D000932,C000746,Mobile,Samsung,Android,Yes,No,No
D000933,C000039,Mobile,Apple,iOS,No,Yes,Yes
D000934,C000011,Desktop,Apple,macOS,Yes,Yes,Yes
D000935,C000672,Mobile,Dell,Windows,Yes,Yes,No
D000936,C000949,Mobile,Apple,macOS,No,Yes,Yes
D000937,C000253,Desktop,Samsung,Android,Yes,Yes,Yes
D000938,C000514,POS,Dell,Windows,No,No,No
D000939,C000062,Mobile,Apple,iOS,No,Yes,Yes
D000940,C000063,POS,Apple,macOS,No,Yes,No
D000941,C000211,POS,Samsung,Android,No,Yes,Yes
D000942,C000807,Desktop,Dell,Windows,Yes,Yes,No
D000943,C000209,Mobile,Samsung,Android,Yes,No,Yes
D000944,C000311,Desktop,Apple,iOS,Yes,Yes,Yes
D000945,C000095,Mobile,Dell,Windows,Yes,No,No
D000946,C000140,Desktop,Dell,Windows,Yes,Yes,No
